"","id","blurb","launch","created"
"4717",1821615887,"""A castle themed events center with large and small spaces to support a variety of arts i.e. performing, visual, music, theater, dance"",",1404523172,1403125311
"4776",108704714,"""A classical/ fantasy version of midsummers done by professionally trained actors in Tulsa!"",",1405291811,1404092823
"4802",2124326999,"""A singing, swordswinging, all female pirate show has been stuck in the Mid-West. For our 15th Anniversary, we want to move on!!!"",",1406777983,1406684411
"4823",1437022558,"""Help us expand and upgrade our existing restrooms, add a wheelchair accessible restroom and get rid of the long lines!"",",1404840915,1393449827
"4850",900261206,"""5:40' & 4:20' Shipping Containers seems like all it would take.  Any engineers out there?  Art School Dropout seeks interesting project"",",1404882888,1404824014
"4864",1506425368,"""Photosphere Entertainment serves the growing independent artist music industry with a platform to spread their music abroad."",",1404323682,1404237093
"4878",105690868,"""The Tribulation Trail ministry has seen the salvation of more than 17,000 souls, more than 51,000 re-dedications to follow Christ."",",1404759217,1401725624
"4929",1705883377,"""Ceasefire WWII. Yet Nazis continue the Holocaust.  A German & a girl try to stop the execution of Christian,Gay & Jewish prisoners."",",1405099248,1366145968
"4968",90458651,"""The Enchanted Players Theatre Company want to bring our version which is family friendly to all walks of life,"",",1404416637,1404403354
"4981",537479400,"""A show about making a one woman show when you are not one woman. Created by Slip of Steel."",",1405085232,1404898865
"4983",1920430785,"""Théâtre d'été présenté au Café culturel de la Chasse-galerie jusqu'au 3 août.\nSummer play presented in Lavaltrie until August 3, 2014"",",1405953286,1405027879
"5001",779373607,"""\""Sounds By The River\"" tells the story of a Detroit composer through\nhis music, poetry, and dance."",",1406668640,1375257993
"5032",294045777,"""FINAL ATTEMPT to raise $35,000 to keep the historic hometown theatre open for all the public to enjoy or we will be closing our doors!!"",",1405122051,1403654976
"5057",1262282877,"""A dose of One-woman \""Dramedy\"" to cure those daily blues is just what the doctor ordered!"",",1406578178,1405945068
"5067",1132641010,"""The Ultimate Screenwriting Conference\nis the experience showing screenwriters how to write and sell a screenplay in hollywood!"",",1404927690,1404314844
"5082",1387727690,"""The unproduced screenplay by Tennessee Williams is given life for the first time on a Twin Cities stage by an ensemble of local actors."",",1405266710,1405030382
"5117",2081188370,"""Sissy Entertainment delivers a delicious cabaret that blends comedic monologue, song, and traditional sketch comedy."",",1405957098,1405704489
"5131",1007013403,"""Whitley Bay operatic society are a registered charity, we are looking for funding in order for us to stage boogie nights the musical."",",1405550288,1405348520
"5142",2099165725,"""We've got something special for you during our 20th Anniversary, and we need your help to make the best season in centuries a reality!"",",1404412126,1404322454
"5186",45158762,"""More than just a play, RAIN is an outreach to hurting people who feel disengaged or rejected by others."",",1406140561,1373657773
"5217",247296139,"""The story of a journey from extreme grief, to unimaginable joy! Told by real people who are overcoming tragedy, victoriously!"",",1405201690,1401234107
"5219",1498143461,"""Death splits apart twin brothers in a questionable car accident. They shared dreams, and now they must share trials in the unknown."",",1405307696,1404358495
"5255",1604283534,"""ZIGGY-CRAWL follow's the story of a local art school student who, fed up with reality finds comfort in believing he's Ziggy Stardust."",",1404239269,1404164141
"5263",1740574926,"""A fantastic new comedy coming to the West End 2014.  An Alan Ayckbourn meets Richard Curtis style comedy. Who knew singing was therapy!"",",1406131023,1403803013
"5295",235777337,"""Stefka NYC was born out of my love of design and my dream to produce a well made accessory brand produced in NYC"",",1406567363,1403109777
"5306",843055766,"""Philly region presents Witch doctors, alien-shamans, and astral surgeons; bazaar, for your transformational needs at Burning Man 2014"",",1405350963,1404235770
"5315",1026528533,"""Help Save High School Theater Program\nYour donations will be used to purchase props, build sets, and costumes."",",1404161639,1402577507
"5322",661568906,"""Brand new graduate theater company 'FMP Theatre' proudly presents the definitive WW1 play, Journey's End, with a little help from you."",",1404973504,1404916824
